[[ 0.24037589  1.8625027   2.0585673   1.7323356   0.71193254 10.552538
   3.7006052   0.5993887   3.649949    7.8128576   0.39990413  1.0626315
   0.034519    0.47772154  0.4578578   0.80131125  0.6500252   1.5707327
   2.746578    4.8791847   2.6497517   5.272518    4.4001846   6.682365
   1.9450041  10.392184    5.2050624   0.3106178   3.0127494   1.58641
   0.          9.221851    0.3079711   5.3092513   1.2206094   4.413133
   2.101793    0.5485375   9.314111    0.8311759   2.449244    2.5192776
   4.273664    5.0694594   2.753666    0.          5.7514877   9.670557
   3.9323356   1.9390614   0.8021234   2.093716    0.38589278  0.67547584
   3.3260975   1.0706842   0.05753008  7.954345    2.6507246   0.70345646
   1.1317955   1.0671808   5.1189537   2.539739    0.22956389  0.20832556
   2.4431658   1.6449232   0.3946115   1.4611523   1.4844944   1.852885
   0.22690506  0.7963956   2.8059998   0.8221684   1.9952472   0.
   0.          0.17939465  0.         11.671432    0.8507583   0.17723626
   0.05434325  4.8162293   4.6575994   0.31841397  7.87779     0.07123302
   2.941576    0.50293875  1.882949    6.935936    0.09433919  0.59512436
   0.8968393   0.95224375  0.68695444  6.382525    2.2339735   3.5689666
  11.976531    9.651413    4.3298793   0.          2.6272066   1.0037574
   1.8102309   1.3615692   2.405636    3.3766613   0.13086766  5.022993
   0.36660013  0.5668605   8.3866      4.3888135   0.07089829  1.240368
   0.37317228  1.7047695   0.05700482  2.874986    3.928889    1.059558
   0.          0.          1.5588317   9.617165    0.          0.08749222
   7.49875     0.8577197   5.100389    3.222897    0.          0.1659656
   3.0200815   6.480992    0.07171673  1.1718878   0.          0.3961283
   4.6022496   1.9399934   6.3681526   2.7981865   0.29837126  0.46661034
   2.1642015   1.8391805   0.04484382  0.17557825  1.0448059   0.99647266
   2.124329    0.70031196  0.          0.          2.117743    2.9284852
   3.553436    0.7465757   1.5472035   0.37833402  0.15068673  3.934146
   2.6288831   2.2906651   4.343136    0.14592455  6.616225    0.95717263
   2.0367663   0.23524344  0.          3.9047377   6.0203447   7.385792
   3.7988596   2.409334    1.8361194   0.06519387  1.6924595   3.2848012
   5.2355046   0.9051062   3.6455376   2.9464812   3.4645486   0.
   0.          3.70285     0.2647396   0.3599092   0.          0.
   0.6983063   0.35873348  3.5635781   3.3696444   0.42302483  0.11369473
   3.7864113   1.1470592   0.6198298   3.203526    1.3121355  10.455124
   0.08993892  1.9688267   0.17475039  4.749589    0.43658254  8.371912
   4.723706    0.91061485  3.300663    2.6096592   8.167948    8.833672
   5.39234     0.8876261   1.9875457   1.9051453   1.1916394   2.5187595
   0.          0.9513333   2.9619236   7.113344    4.730631    2.7382152
   2.4031792   3.021585    8.0200205   3.4741924   0.6821521   0.9960197
   0.4603687   1.5415202   2.506253    1.5924495   4.060233    5.9705567
   2.2534323   0.15780619  4.009173    4.376242    7.7377915   1.6372733
   1.2573451   0.68870777  2.6403344   0.6215066   0.10615508  4.8908777
   3.438736    0.          0.30435887  0.6236433   0.32691363  3.4846222
   0.1955185   4.069793    4.7236896   0.128052    4.7235837   0.8071901
   6.2864175   0.          2.301064    4.212461    0.7369688   1.2852684
   6.628737    0.890329    0.19680817  5.413281    4.1175237   1.248786
   0.7880704   1.7294427   2.6519196   0.09582691  2.2333913   0.83545065
   1.5355961   4.8890905   2.9233935   2.4226174  10.210613    7.9821877
   5.563525    0.7849614   3.3316348   2.8107316   1.9790319   0.
   0.26461884  6.859694    6.9395866   0.588308    4.2538004   0.
   1.1687394   0.8783688   0.24476095  1.3442932   3.5044832   0.06410177
   1.8306352   1.0748442   1.9714284   1.636019    3.2636557   5.238497
   0.899203    0.88985     0.          5.600291    2.7021573   1.3923858
   2.8093688   1.806602   11.649706    1.0038295   2.9868498   0.
   1.3115479   3.6627173   0.78777015  3.0751963   2.8065434   2.7653656
   3.758366    4.8402977   1.6206771   4.5794015   0.53219706  0.3888599
   4.572605    3.8063374   1.9527289   2.3683891   7.558887    0.
   0.4208795   4.343248    0.49000075  1.3032243   0.18100898  0.36553928
   4.17371     0.9451238   0.09407332  2.6340191   2.568822    2.9699607
  12.044336    0.0581806   3.9466655   8.485652    5.6372457   3.9285564
   3.042975    6.0270686   1.1193923   0.72561044  0.27525732  4.6307015
   0.36293146  0.2989652   7.1206546   0.9655418   1.2263266   4.176861
   0.          4.5809774   2.1023517   6.6786466   0.33289328  3.8879526
   0.06606281  4.8935695   1.2804842   0.5405139   2.513517   10.672
   0.53385884  5.1839542   0.02278476  5.876288    7.37238     2.8393056
   0.15531756  2.8592618   7.7417974   1.9282018   1.1192615   4.769591
   2.0468874   2.718974    3.3096476   0.08572059  0.          1.2049475
   6.003975    1.8467246   2.432016    1.7584894   0.65386117  0.
   2.7913277   0.          1.6160302   1.2509238   1.852594    5.8586936
   2.8570993   0.48731923  0.15996696  4.9915276   0.18589815  6.58575
   2.6683388   3.6282501   4.0939674   1.096691    1.9680649   6.278422
  10.013882    4.4468994   1.9606124   4.5970554   0.3383226   2.0694327
   0.5785299   0.48033     0.6987107   0.43643922  1.1258558   0.93305135
   2.6154463   0.14599715  7.152136    0.6696005   1.0227367   0.9148572
   0.49045032  7.093486    0.37218702  6.5862145  12.172251    2.324914
   2.3819685   0.77131546  1.6654892   5.636171    0.7233956   4.15603
   3.074839    1.0125747   0.          1.567449    1.2834057   0.6082669
   4.983616    0.20272885  1.5250136   1.8180184   2.233996    1.749084
   4.6531663   0.35592535  1.2738147   2.9740875   0.03844229  0.4619766
   2.732466    1.0008527   3.5871613   2.4094975   0.29427066  0.
   5.5412073   1.173778    4.176615    0.29982615  3.9635344   1.2500991
   2.4882596   3.8218014   3.8665051   1.3158321   2.394924    0.87911534
   2.0341454   1.2891314   1.9849209   0.68710023  0.          1.0198487
   5.643101    4.2823224   4.8901677   2.5280015   1.0842944   0.6066666
   4.4666886   5.535757  ]]
